Name,Latitude,Longitude
CHC Nancowry,7.96109,93.5589
Boothathankudiyiruppu,8.599677,77.563441
DEVARASHIGEHALLI,15.6668,74.7178
SHC Tamai,24.078172,82.667247
Motaron Ka Khera HSC,25.159735,75.005336
Kolhua,25.159776,81.905892
Itaura,25.159817,85.627373
KAUBARA,25.159855,81.153363
Masavta,26.341327,76.681696
Karel,26.34145,76.4473
TIKARI MUSTKIL,26.341524,79.485511
CHAPANALA,26.341533,92.8679
Jalsu Kallan,26.855749,74.292862
Paliyas,26.855749,74.292862
KHIDAS,26.855749,74.292862
That,26.855792,71.826002
Kukurachowa SC,26.855833,94.613783
Sarayranak,27.50402,80.01037
Fatehpurgaji,27.50402,80.01037
Anjhi,27.50402,80.01037
Barabiku,27.504022,79.297853
Sevri,27.504027,73.653717
SC Chowra,7.96102,93.55883
SC Alorong,7.96102,93.55883
SC Enam,7.96102,93.55883
CHC Nancowry,7.96109,93.5589
SC E Wall,7.9768474,93.5509004
MUGAPAIR UHP,13.081312,80.180797
ATTAVARA HOSAHALLI GATE,13.08135,76.25769
Lakshmambapuram,13.081476,79.18589
Lakshmambapuram,13.081476,79.18589
M S PALYA UPHC,13.0815,77.5494
Boppudi,16.065115,80.137276
N Pallipalem,16.065185,80.867188
HOSAKOTI,16.0658,75.4606
Nagulapadu,16.065991,80.339066
Gamalapadu,16.065991,80.339066
SC Wahigund,34111112,74.446123
Sarna SC,90076994,78507681
Barkheda,275545504,79.241063
Mamera Kalan,7233668586,74.709564
ged,2.36E+11,7.35E+01
itva,2.36E+11,7.55E+01
MAC warpora,34.45390565,74.17851997
MAC wopazwani sirajpora,34.45390565,74.17851997
Kinyal,34.4572,74.1298
Arampora,34.45732543,74.29394193
Arampora,34.45732543,74.29394193
Jahanabad c.h.c.,26.107223,80.351927
CHAKARDA,26.10725,91.638017
GOVARDHANPURA,26.1073,79.15459
GUJELA,26.107395,80.161927
NADIGAUN,26.10745,79.02173
Guraru,24.81263,84.78053
Gundau,24.8127,71.9964
Golwada,24.8127,72.1594
Karigohi,24.8127,81.03016
Kalbaliya,24.8127,81.03016
Birsinghpur,24.81271,81.03017
Garankati,22.065867,88.378283
Asaunda,22.06591167,82.89688667
Bijadihi,22.06596,84.24481
Sasinda,22.0660114,87.29389
Launda,22.06616432,81.85712823
Lotheru,18.33826,83.05359
Lotheru II,18.33826,83.05359
Silagam,18.338432,84.101616
Silagam,18.338432,84.101616
Mariaaichiwadi,18.33845,74.105429
Chinalabudu,18.338491,82.916351
BHODIKERE,12.5503,77.4249
GOPALAPURA,12.5507,76.8869
Linganampatti,12.550951,77.996433
KALAKHNAGAR,12.5511,77.4185
KRISHNAPUR,12.5516,77.1484
HOLALU B,12.5517,76.8515
BEEJAMALA,21.44604333,83.26810333
Salachua,21.44609,86.46488
GONTIYA,21.44635487,75.69205236
Joga,21.446391,78.744078
Ilav,21.44647466,72.80005636
Dungarpur,21.446506,70.492519
Dabra,29.096,75.759
2 RPM,29.096433,74.467939
Caterpur Nayek,29.096818,78.954012
WAJIDPUR,29.09703,77.33508
Pathan Kot Baraut,29.09762,77.26319
Khempur,29.097789,79.249835
Katra,32.98922782,74.94163296
MALLA,32.99,74.47
PANYA,32.99,74.52
AGAR MAJOOR,32.99,74.57
Jassarkote,32.99,75.03
Balinallah,32.99,75.16
Pipaliya,22.93001789,73.93880367
Torpa,22.930257,85.093314
Haringhata GP II HQ SC,22.930317,88.543083
JHAWALIYA,22.93043,74.75484333
Changodar,22.930465,72.446655
Dharampur,22.9305,88.4876
FWC Vettathur,10.99706667,76.23601667
FWC Vettathur,10.99706667,76.23601667
Devarayapuram,10.997635,76.815872
FWC Kundiruppu,10.99775,75.95926667
FWC Ramapuram,10.99836667,76.14268333
Pattunool Centre UHP,10.998428,76.954147
FWC Thelakkad,10.99856667,76.2699
